Períodos,Total,Data,Periodo_fmt
jan/18,17.4,2018-01-01,jan/18
mar/18,16.9,2018-03-01,mar/18
jun/18,16.9,2018-06-01,jun/18
jul/18,17.4,2018-07-01,jul/18
nov/18,17.4,2018-11-01,nov/18
jan/19,17.0,2019-01-01,jan/19
mar/19,16.5,2019-03-01,mar/19
jun/19,16.8,2019-06-01,jun/19
jul/19,15.8,2019-07-01,jul/19
nov/19,14.6,2019-11-01,nov/19
jan/20,14.0,2020-01-01,jan/20
mar/20,12.5,2020-03-01,mar/20
jun/20,2.1,2020-06-01,jun/20
jul/20,-0.7,2020-07-01,jul/20
nov/20,-2.7,2020-11-01,nov/20
jan/21,-2.4,2021-01-01,jan/21
mar/21,0.7,2021-03-01,mar/21
jun/21,18.2,2021-06-01,jun/21
jul/21,22.1,2021-07-01,jul/21
nov/21,26.5,2021-11-01,nov/21
jan/22,25.2,2022-01-01,jan/22
mar/22,23.0,2022-03-01,mar/22
jun/22,14.4,2022-06-01,jun/22
jul/22,13.9,2022-07-01,jul/22
nov/22,14.5,2022-11-01,nov/22
jan/23,15.6,2023-01-01,jan/23
mar/23,14.9,2023-03-01,mar/23
jun/23,15.1,2023-06-01,jun/23
jul/23,14.5,2023-07-01,jul/23
feb / 2018,17.1,,
apr / 2018,18.6,,
may / 2018,17.5,,
aug / 2018,17.0,,
sep / 2018,16.9,,
oct / 2018,17.2,,
dec / 2018,17.3,,
feb / 2019,17.1,,
apr / 2019,15.4,,
may / 2019,16.4,,
aug / 2019,14.7,,
sep / 2019,14.2,,
oct / 2019,15.3,,
dec / 2019,14.5,,
feb / 2020,12.9,,
apr / 2020,8.9,,
may / 2020,4.6,,
aug / 2020,-2.5,,
sep / 2020,-3.1,,
oct / 2020,-3.0,,
dec / 2020,-1.9,,
feb / 2021,-1.7,,
apr / 2021,6.5,,
may / 2021,13.2,,
aug / 2021,27.0,,
sep / 2021,27.7,,
oct / 2021,27.4,,
dec / 2021,25.0,,
feb / 2022,24.5,,
apr / 2022,19.7,,
may / 2022,16.5,,
aug / 2022,12.6,,
sep / 2022,13.0,,
oct / 2022,13.8,,
dec / 2022,14.9,,
feb / 2023,15.2,,
apr / 2023,14.6,,
may / 2023,14.9,,
aug / 2023,14.1,,
sep / 2023,12.7,,
